119 459
142 680
933 468
737 567
661 725
450 876
646 138
376 58
298 592
834 404
299 588
603 24
999 967
423 406
446 260
653 259
470 969
79 50
850 748
834 146
540 471
924 514
583 224
631 434
510 194
190 270
237 465
793 550
30 266
532 37
138 397
246 394
899 11
602 833
844 47
727 873
653 278
702 733
64 823
431 572
840 261
241 246
642 850
143 599
551 2
24 49
145 207
200 661
326 370
236 538
207 131
103 54
540 213
674 93
62 639
232 498
118 902
458 326
503 212
764 156
179 515
454 558
730 591
542 56
223 514
660 84
10 907
85 877
504 778
543 910
970 929
616 93
486 628
259 14
225 460
88 988
446 72
156 787
664 456
817 217
451 776
529 201
730 634
730 774
273 934
9 796
598 931
684 636
601 157
883 493
233 63
584 463
366 165
170 178
504 936
545 578
193 642
802 570
284 430
549 867
