242 40
334 610
147 898
921 62
773 455
542 404
1000 243
230 49
99 112
763 820
560 633
702 462
992 735
565 484
271 91
876 682
621 983
950 383
119 700
69 356
13 908
545 895
838 790
168 492
517 752
140 62
597 496
805 907
949 892
432 993
114 279
646 12
57 572
601 379
779 922
853 895
317 52
789 170
500 784
379 399
227 445
968 707
649 240
357 7
908 322
629 835
924 671
845 570
753 800
71 170
174 44
239 770
774 268
666 704
246 182
967 292
76 522
931 257
574 313
411 273
82 925
864 569
922 185
547 373
383 370
300 568
135 161
204 740
375 98
167 112
166 699
229 582
886 999
27 725
476 77
427 900
919 880
601 98
751 683
357 320
757 291
285 923
891 246
374 15
349 35
589 438
681 957
770 384
935 201
731 611
523 557
183 558
85 820
373 784
839 847
761 857
41 803
860 814
996 398
347 987
547 241
632 393
670 267
744 266
565 728
761 311
326 947
276 786
69 460
534 688
180 91
919 198
596 759
893 616
181 142
857 621
470 936
509 655
869 463
660 214
840 409
352 103
362 940
240 125
319 637
257 81
174 288
786 839
235 145
201 257
992 253
929 819
15 476
106 466
257 503
878 487
310 27
306 317
279 573
650 74
129 88
773 450
362 753
656 855
708 585
969 482
416 965
443 336
617 219
380 882
804 493
718 150
487 920
51 796
617 574
934 998
66 732
910 97
141 899
462 561
480 271
725 915
37 661
233 1000
947 776
907 498
874 512
447 631
113 377
508 781
510 525
529 638
928 388
576 531
354 551
987 462
103 246
195 335
83 802
747 988
476 35
311 919
214 892
732 218
816 28
892 427
212 323
728 677
190 717
271 257
755 857
34 509
868 773
823 989
240 535
591 113
820 266
811 912
133 587
10 175
