492 720 - 521 353 - 9
231 321 - 939 660 - 14
256 470 - 690 944 - 40
534 724 - 52 382 - 67
890 106 - 125 113 - 67
505 1 - 235 7 - 73
562 331 - 204 907 - 89
290 836 - 637 442 - 99
242 391 - 501 803 - 129
242 763 - 202 702 - 130
325 257 - 915 284 - 137
840 869 - 989 639 - 175
380 984 - 230 910 - 177
413 653 - 574 912 - 186
822 374 - 959 671 - 197
113 775 - 503 857 - 197
949 190 - 350 26 - 207
848 506 - 612 398 - 229
987 948 - 674 13 - 234
441 834 - 903 65 - 243
530 982 - 597 530 - 270
338 291 - 383 542 - 278
67 393 - 107 83 - 288
258 130 - 777 725 - 298
813 887 - 567 858 - 303
153 346 - 992 694 - 311
273 22 - 936 958 - 356
39 388 - 365 160 - 391
2 43 - 345 136 - 397
37 812 - 41 86 - 408
743 791 - 893 997 - 410
418 554 - 943 984 - 418
674 694 - 317 718 - 439
286 490 - 552 851 - 473
363 553 - 297 947 - 503
568 912 - 378 821 - 517
674 213 - 578 974 - 523
426 200 - 821 484 - 547
184 304 - 462 763 - 558
477 688 - 52 725 - 569
578 416 - 843 550 - 603
594 494 - 123 112 - 621
826 15 - 666 543 - 673
318 337 - 265 776 - 675
782 988 - 224 320 - 706
874 901 - 818 773 - 766
107 91 - 716 486 - 795
608 897 - 812 254 - 834
181 10 - 615 119 - 840
921 408 - 600 95 - 845
858 446 - 484 65 - 857
703 765 - 672 82 - 873
866 715 - 530 809 - 881
536 681 - 966 585 - 885
808 330 - 767 524 - 946
142 390 - 500 845 - 946
876 328 - 223 429 - 951
144 480 - 107 822 - 981
773 943 - 386 51 - 989
913 30 - 825 562 - 990
282 733 - 849 509 - 1003
574 346 - 382 351 - 1069
42 649 - 130 737 - 1131
753 557 - 656 704 - 1137
155 968 - 776 956 - 1178
963 231 - 573 166 - 1180
313 935 - 219 486 - 1264
363 198 - 81 697 - 1317
663 423 - 737 114 - 1325
852 502 - 395 854 - 1332
943 925 - 710 32 - 1355
894 286 - 80 597 - 1368
165 851 - 474 758 - 1385
169 652 - 241 354 - 1405
882 142 - 123 410 - 1408
45 331 - 300 856 - 1452
30 486 - 570 681 - 1460
915 80 - 620 56 - 1517
616 906 - 674 805 - 1520
612 62 - 753 979 - 1557
475 668 - 425 375 - 1557
95 856 - 923 715 - 1701
689 383 - 951 852 - 1710
234 71 - 921 412 - 1722
470 404 - 909 333 - 1738
843 163 - 384 27 - 1743
907 120 - 963 924 - 1761
904 527 - 11 940 - 1783
243 631 - 311 679 - 1783
391 521 - 239 587 - 1788
820 436 - 724 780 - 1797
103 745 - 346 990 - 1809
747 832 - 787 846 - 1815
79 954 - 247 736 - 1815
993 894 - 799 151 - 1862
100 734 - 754 458 - 1878
389 737 - 494 777 - 1888
303 880 - 794 759 - 1913
426 616 - 258 246 - 1977
427 512 - 203 164 - 2011
565 385 - 670 433 - 2026
485 758 - 231 801 - 2036
998 67 - 483 886 - 2037
561 94 - 596 938 - 2081
38 266 - 954 215 - 2094
940 357 - 642 349 - 2152
499 138 - 608 207 - 2173
643 870 - 799 208 - 2210
869 249 - 493 975 - 2224
834 512 - 286 352 - 2238
396 41 - 482 57 - 2248
164 856 - 438 629 - 2270
931 60 - 265 390 - 2276
853 620 - 281 212 - 2284
117 145 - 23 550 - 2302
932 310 - 167 879 - 2373
835 228 - 495 959 - 2382
0 558 - 186 665 - 2398
213 736 - 336 891 - 2404
632 726 - 232 387 - 2421
567 329 - 295 596 - 2424
836 558 - 714 692 - 2475
368 746 - 71 594 - 2480
700 680 - 810 299 - 2493
680 51 - 157 340 - 2524
403 469 - 454 935 - 2533
536 585 - 665 380 - 2539
323 928 - 737 260 - 2548
554 93 - 874 759 - 2561
478 341 - 516 144 - 2579
279 453 - 194 495 - 2624
31 327 - 33 328 - 2627
19 857 - 743 805 - 2634
100 479 - 505 833 - 2664
888 840 - 875 392 - 2678
274 81 - 103 675 - 2685
310 923 - 176 608 - 2705
3 174 - 901 269 - 2736
294 512 - 476 705 - 2737
39 364 - 56 752 - 2742
287 172 - 659 910 - 2767
724 749 - 551 555 - 2773
960 967 - 147 689 - 2786
262 323 - 999 590 - 2835
8 125 - 574 542 - 2846
